Label,EmailText,EmailText_uk
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","ШІСТЬ шансів виграти ГРОШІ! Від 100 до 20 000 фунтів txt> CSH11 та надішліть на номер 87575. Вартість 150p/день, 6 днів, 16+ TsandCs застосовуються Відповісти HL 4 інформація"
spam,"URGENT! You have won a 1 week FREE membership in our ÃÂ¥ÃÂ£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",ТЕРМІНОВО! Ви виграли 1 тиждень БЕЗКОШТОВНОГО членства в нашому призовому джекпоті на 100 000 фунтів стерлінгів! Надішліть слово: CLAIM на номер: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,"Я шукав правильні слова, щоб подякувати вам за цей перепочинок. Обіцяю, що не буду сприймати твою допомогу як належне і виконаю свою обіцянку. Ти завжди був чудовим і благословенням."
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,У МЕНЕ ПОБАЧЕННЯ В НЕДІЛЮ З ВІЛЛОМ!!!
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: Щоб використати свій кредит, натисніть на WAP-посилання в наступному txt-повідомленні або натисніть тут>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,Oh k...i'm watching here:),Ох... я дивлюся тут:)
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,"Пам'ятаєш, як пишеться його ім'я? Так, пам'ятаю. Він пустував, поки я не обмочився."
ham,Fine if thatÃÂ¥ÃÂs the way u feel. ThatÃÂ¥ÃÂs the way its gota b,"Гаразд, якщо ти так думаєш. Так і має бути."
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ÃÂÃÂ¼1.20 POBOXox36504W45WQ 16+","Англія - Македонія - не пропустіть голи та новини про команду. Надішліть смс з назвою вашої збірної на номер 87077, наприклад, ENGLAND на 87077 Спробуйте: WALES, SCOTLAND 4txt/ÃÃ¼1.20 POBOXox36504W45WQ 16+"
ham,Is that seriously how you spell his name?,Ти серйозно так пишеш його ім'я?
ham,IÃ¢ÂÂ°ÃÂÃÂ·m going to try for 2 months ha ha only joking,"Я спробую 2 місяці ха-ха-ха, жартую."
ham,So ÃÂ_ pay first lar... Then when is da stock comin...,Тож спершу заплати... Тоді коли будуть акції...
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,Після обіду я йду вниз. Ще на три години. Ти вже пообідала?
ham,Ffffffffff. Alright no way I can meet up with you sooner?,"Фффффффффффф. Гаразд, я можу зустрітися з тобою раніше?"
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,"Просто змусила себе з'їсти шматочок. Я насправді не голодний. Це відстій. Марк починає хвилюватися. Він знає, що мене нудить, коли я відмовляюся від піци. Lol"
ham,Lol your always so convincing.,"Лол, ти завжди такий переконливий."
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Ти встиг на автобус? Яєчню смажиш? Заварив чай? Ти їси залишки маминої вечері? Відчуваєш Мою Любов?
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room","Я повернувся, ми пакуємо машину, я дам вам знати, якщо буде місце"
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Аааа. Робота. Смутно пригадую! На що це схоже? Lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Зачекай, це ще не все зрозуміло, ти не була впевнена, що це був сарказм або що саме тому Х не хоче жити з нами"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,"Так, він прийшов о 2 годині і дуже вибачався. Вони посварилися, і вона поводилася як розпещена дитина, і він втягнувся в це. До другої! Але ми не підемо туди! Не так вже й погано, будьмо. А ти?"
ham,K tell me anything about you.,Розкажи мені що-небудь про себе.
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,"Боїтеся знепритомніти від усієї тієї хатньої роботи, яку ви щойно зробили? Швидше випий чашечку чаю."
spam,Thanks for your subscription to Ringtone UK your mobile will be charged ÃÂ¥ÃÂ£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,"Дякуємо за передплату на Ringtone UK з вашого мобільного буде знято 5 GBP/місяць. Будь ласка, підтвердіть, відповівши ТАК або НІ. Якщо ви відповісте НІ, з вас не буде стягуватися плата"
ham,Yup... Ok i go home look at the timings then i msg ÃÂ_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,"Ага... Гаразд, я йду додому, дивлюся на розклад, потім знову відправляю повідомлення... Сюйхуей теж буде вчитися 2-го травня, але у неї урок о 8 ранку."
ham,"Oops, I'll let you know when my roommate's done","Ой, я дам знати, коли моя сусідка закінчить."
ham,I see the letter B on my car,"Я бачу літеру ""Б"" на своїй машині"
ham,Anything lor... U decide...,"Все, що завгодно... Вирішуй сам."
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,"Привіт! Як справи і як пройшла субота? Я просто писала, щоб дізнатися, чи ти не вирішив щось зробити сьогодні. Не те, щоб я намагався запросити себе чи щось таке!"
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,"Будь ласка, продовжуйте з ватами. Я просто хотів переконатися. Гарних вихідних. Абіола"
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","Я забув тобі сказати? Я хочу тебе, я потребую тебе, я жадаю тебе... Але найбільше... Я кохаю тебе, мій солодкий арабський конику. Мммммм... Смакота."
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,"07732584351 - Роджер Бернс - MSG = Ми намагалися додзвонитися до вас, коли ви відповіли на наше смс, щоб виграти безкоштовний мобільний телефон Nokia + безкоштовну відеокамеру. Будь ласка, зателефонуйте зараз 08000930705 для доставки завтра"
ham,WHO ARE YOU SEEING?,З КИМ ТИ ЗУСТРІЧАЄШСЯ?
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,"Чудово! Сподіваюся, ти любиш, коли твій чоловік добре забезпечений. У мене дюймовий..."
ham,No calls..messages..missed calls,"Немає дзвінків, повідомлень, пропущених дзвінків"
ham,Didn't you get hep b immunisation in nigeria.,Ви не робили щеплення від гепатиту В в Нігерії?
ham,"Fair enough, anything going on?","Справедливо, що відбувається?"
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","Так, сподіваюся, якщо Тайлер не зможе це зробити, я зможу трохи порозпитувати."
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,"Ти не знаєш, яка я вперта. Я навіть не хотіла їхати в лікарню. Я казала Марку, що я не слабачка. Лікарні для слабаків."
ham,What you thinked about me. First time you saw me in class.,Що ти думав про мене. Коли ти вперше побачив мене в класі.
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","Зазвичай грам дорівнює &lt;#&gt;, але половина восьмої розумніша і дає вам майже цілу другу грама за &lt;#&gt;;"
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,"До речі, завтра вранці йому треба їхати, але сьогодні він ночує у нас."
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""","Ого. Я ніколи не думала, що ти так соромишся свого житла. Я думав, що тобі подобалося, бо я робив усе, що міг, і ти завжди виглядала такою щасливою від печери"". Мені шкода, що я не міг і не можу дати тобі більше. Вибач, що запропонував. Вибач, що твоя кімната була такою незручною""."
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,"SMS. ac Sptv: ""Нью-Джерсі Девілз"" і ""Детройт Ред Вінґз"" грають у хокей. Правильно чи неправильно? Кінець? Відповісти END SPTV"
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,"Чи знаєте ви, що вчора зробила Малліка Шерават? Дізнайтеся зараз за посиланням;"
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ","Вітаємо! Спеціальний абонемент на 1 рік на 2 відвідування кінотеатру твій. телефонуй 09061209465 зараз! З Suprman V, Matrix3, StarWars3 і т.д. всі 4 фільми БЕЗКОШТОВНО! bx420-ip4-5we. 150pm. Не пропустіть!"
ham,"Sorry, I'll call later in meeting.","Вибачте, я зателефоную пізніше на зустрічі."
ham,Tell where you reached,"Розкажіть, куди ви дійшли"
ham,Yes..gauti and sehwag out of odi series.,"Так, гауті та сехваг з серіалу ""Оді""."
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,По дорозі додому купиш собі бургер за 1 долар. Я навіть поворухнутися не можу. Біль вбиває мене.
ham,Ha ha ha good joke. Girls are situation seekers.,"Ха-ха-ха, гарний жарт. Дівчата - шукачі ситуацій."
ham,Its a part of checking IQ,Це частина перевірки IQ
ham,"Sorry my roommates took forever, it ok if I come by now?","Вибачте, що мої сусіди так довго затримувалися, нічого, якщо я зайду зараз?"
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,"Гаразд, але я перепитала перукаря, він сказав, що підстриже мене коротко. Він сказав, що буде стригти, поки я не буду виглядати добре."
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a ÃÂ¥ÃÂ£1500 Bonus Prize, call 09066364589","Як шановний клієнт, я радий повідомити вам, що за результатами нещодавньої перевірки вашого номеру мобільного телефону ви нагороджені бонусним призом у розмірі 1500 фунтів стерлінгів, зателефонуйте за номером 09066364589."
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""","Сьогодні день присвячений пісням. Яку пісню ти присвятиш мені? Надішліть це всім своїм цінним друзям, але спершу дайте відповідь мені..."""
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or ÃÂ¥ÃÂ£1000. To claim txt DIS to 87121 18+6*ÃÂ¥ÃÂ£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","Urgent UR присуджує безкоштовну поїздку до EuroDisinc Trav, Aco&Entry41 або 1000 фунтів стерлінгів. Щоб отримати txt DIS на 87121 18+6* £1.50(moreFrmMob. ShrAcomOrSglSupplt)10, LS1 3AJ"
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""","Ви чули про нову ""Розлучену Барбі""? Вона йде з усіма речами Кена!"""
ham,I plane to give on this month end.,Я планую зробити це наприкінці місяця.
ham,Wah lucky man... Then can save money... Hee...,Щасливчик... Тоді може заощадити гроші... Хі...
ham,Finished class where are you.,"Закінчився урок, де ти?"
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,"ПРИВІТ, КРИХІТКО, Я ВДОМА, ХОЧЕШ ЧИМОСЬ ЗАЙНЯТИСЯ? XX."
ham,K..k:)where are you?how did you performed?,К..к:) де ти? Як виступив?
ham,U can call me now...,Можеш мені подзвонити...
ham,I am waiting machan. Call me once you free.,"Я чекаю на Мачан. Подзвони мені, як звільнишся."
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,Це круто. Я джентльмен і буду ставитися до вас з гідністю і повагою.
ham,I like you peoples very much:) but am very shy pa.,"Ви мені дуже подобаєтеся, люди:), але я дуже сором'язливий."
ham,Does not operate after  &lt;#&gt;  or what,Не працює після &lt;#&gt; або що
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,Тут все по-іншому. Я все ще шукаю роботу. Скільки там заробляють Та?
ham,"Sorry, I'll call later","Вибач, я передзвоню пізніше."
ham,K. Did you call me just now ah? ,K. Це ти мені щойно дзвонив?
ham,Ok i am on the way to home hi hi,"Гаразд, я їду додому. Привіт, привіт."
ham,You will be in the place of that man,Ти будеш на місці цієї людини
ham,Yup next stop.,"Так, наступна зупинка."
ham,"I call you later, don't have network. If urgnt, sms me.","Я подзвоню тобі пізніше, у мене немає мережі. Якщо терміново, напиши мені смс."
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,"Справді, коли ти вже сядеш? Мені потрібно ще 2 квитки і куртка, і я закінчив. Я вже використав усі свої мульти."
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,"Так, я почав надсилати запити на виготовлення, але біль повернувся, тож я знову в ліжку. На заводі теж подвійні монети. Я мушу перевести в готівку всі свої нітро."
ham,I'm really not up to it still tonight babe,"Я дійсно не в змозі сьогодні, крихітко."
ham,"Ela kano.,il download, come wen ur free..","Ela kano, il download, come wen ur free.."
ham,Yeah do! DonÃ¢ÂÂ°ÃÂÃÂ·t stand to close tho- youÃ¢ÂÂ°ÃÂÃÂ·ll catch something!,"Так! Не зачиняй, бо підхопиш що-небудь!"
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,"Вибач, що заважаю. Нічого, якщо ми зустрінемося наступного разу? Я провела весь вечір у медпункті, а це означає, що я не зробила нічого з того, що ви тут робите, включаючи всі мої табелі обліку робочого часу тощо. Вибач."
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,"Посміхайтеся в радості Посміхайтеся в болю Посміхайтеся, коли неприємності ллються, як дощ Посміхайтеся, коли сума1 болить Посміхайтеся, бо ЩОСЬ все ще любить бачити вас усміхненими!!!"
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed ÃÂ¥ÃÂ£1000 cash or ÃÂ¥ÃÂ£5000 prize!,"Будь ласка, зателефонуйте нашому представнику служби підтримки клієнтів за номером 0800 169 6031 з 10:00 до 21:00, оскільки ви гарантовано виграли 1000 фунтів стерлінгів готівкою або 5000 фунтів стерлінгів призом!"
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,"Не планував купувати пізніше. Я вже перевірив, що на Lido є тільки 530 показів після обіду. Ти вже закінчив роботу?"
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML","Ваш безкоштовний рингтон чекає на отримання. Просто відправте пароль \MIX\"" на номер 85069, щоб підтвердити. Отримайте Ашера та Брітні. FML"
ham,Watching telugu movie..wat abt u?,Дивишся фільм на телугу?
ham,i see. When we finish we have loads of loans to pay,"Зрозуміло. Коли ми закінчимо, у нас буде купа кредитів, які треба буде виплачувати."
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""
ham""","Привіт. У мене все було гаразд, тепер я на канікулах! Так, на пробіжку. Забула, що у мене зустріч з перукарем о четвертій, тож треба заїхати додому і прийняти душ перед цим. У тебе через це проблеми?
шинка"""
ham,Please don't text me anymore. I have nothing else to say.,"Будь ласка, не пиши мені більше. Мені більше нічого сказати."
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,"Гаразд, називай свою ціну, якщо це законно! Коли я можу їх забрати? До завтра."
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,Я все ще шукаю машину для покупки. І ще не склав 4-й іспит з водіння.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"Згідно з вашим запитом ""Melle Melle (Oru Minnaminunginte Nurungu Vettam)"" встановлено як мелодію виклику для всіх абонентів. Натисніть *9, щоб скопіювати мелодію виклику ваших друзів"
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","Ого. Твоя правда! Я не хотіла цього робити. Мабуть, після того, як я відмовилася від бостонських чоловіків і змінила місце пошуку на Нью-Йорк, щось змінилося. Тому що на моїй сторінці все ще написано ""Бостон""."
ham,Umma my life and vava umma love you lot dear,"Умма мого життя і вава умма люблять вас, дорогі."
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,"Дуже дякую за ваші побажання на мій день народження. Дякую, що зробили мій день народження по-справжньому незабутнім."
ham,"Aight, I'll hit you up when I get some cash","Гаразд, я подзвоню, коли дістану готівку."
ham,How would my ip address test that considering my computer isn't a minecraft server,"Як моя ip-адреса може це перевірити, якщо мій комп'ютер не є сервером minecraft?"
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,"Я знаю! Буркотливі старі люди. Моя мама казала: ""Краще б ти не брехав"". Знову ж таки, я завжди жартую..."
ham,Dont worry. I guess he's busy.,"Не хвилюйся. Мабуть, він зайнятий."
ham,What is the plural of the noun research?,"Як утворити множину іменника ""дослідження""?"
ham,Going for dinner.msg you after.,Я йду на вечерю. Напишу тобі пізніше.
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,"Я не проти, бо люблю пробувати щось нове. Але я налякала тебе не так, як мене. Ти ж казав не дуже голосно."
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a ÃÂ¥ÃÂ£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,ПАНОВЕ! Ми намагаємося зв'язатися з вами. За результатами розіграшу минулих вихідних ви ГАРАНТОВАНО виграли приз у розмірі 1000 фунтів стерлінгів. Зателефонуйте на 09064012160. Код претензії K52. Дійсний лише 12 годин. 150 проміле
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?","Вау, твоє вступне речення дуже формальне... У мене теж все гаразд, просто я забагато їм і набираю вагу... Ха-ха... Щось особливе сталося?"
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","Коли я увійшов до своєї каюти, мій помічник сказав: ""З Днем народження, босе!!!"". Я відчув себе особливим. Вона запросила мене на обід. Після обіду вона запросила мене до себе додому. Ми пішли туди."
spam,You are a winner U have been specially selected 2 receive ÃÂ¥ÃÂ£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,Ви переможець Ви були спеціально відібрані 2 отримаєте 1000 фунтів стерлінгів або відпочинок у готелі 4* (flights inc) поспілкуйтеся з живим оператором 2 зателефонуйте 0871277810910p/min (18+)
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,"Гудо! Так, ми повинні поговорити в п'ятницю - потрібне співвідношення яєць і картоплі для тортильї!"
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,"Хм... мій дядько щойно повідомив мені, що він платить школі напряму. Тож, будь ласка, купіть їжу."
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,"ПРИВАТНО! Ваша виписка з рахунку за 2004 рік на сайті 07742676969 показує 786 невикористаних бонусних балів. Щоб отримати їх, зателефонуйте за адресою 08719180248 Ідентифікаційний код: 45239 Закінчується"
spam,"URGENT! Your Mobile No. was awarded ÃÂ¥ÃÂ£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM","ТЕРМІНОВО! Ваш мобільний номер був нагороджений призом у розмірі 2000 фунтів стерлінгів 5/9/03 Це наша остання спроба зв'язатися з вами! Дзвінок зі стаціонарного телефону 09064019788 BOX42WR29C, 150PPM"
ham,here is my new address -apples&pairs&all that malarky,"ось моя нова адреса - яблука, пари і все таке інше"
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,"Сьогодні номери Voda, що закінчуються на 7548, відібрані для отримання призу у розмірі $350. Якщо у вас є збіг, будь ласка, зателефонуйте за номером 08712300220, вказавши код заявки 4041 у додатку ""Стандартні тарифи""."
ham,I am going to sao mu today. Will be done only at 12 ,Сьогодні я їду в Сао Му. Закінчу тільки о 12.
ham,ÃÂÃÂ predict wat time ÃÂ_'ll finish buying?,"Прогнозуєте, коли закінчите купувати?"
ham,"Good stuff, will do.","Добре, так і зроблю."
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.","Просто щоб ви знали, Унде ще не надіслала грошей. Я щойно надіслала їй смс, щоб вона не турбувалася. Так що все скінчено, тобі не потрібно ні в що втручатися. Я не повинен був тобі нічого нав'язувати, тому прошу за це вибачення."
ham,Are you there in room.,"Ти там, у кімнаті."
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,"ПРИВІТ, ДІВЧИНКО. ЯК СПРАВИ? СПОДІВАЮСЯ, У ВАС ВСЕ ДОБРЕ, А У МЕНЕ - СМАЧНОГО ПЕЧИВА! ЗНОВУ ДАВНО НЕ БАЧИЛИСЯ! подзвони мені коли-небудь від Люсі"
ham,K..k:)how much does it cost?,К..к:) скільки це коштує?
ham,I'm home.,Я вдома.
ham,"Dear, will call Tmorrow.pls accomodate.","Шановний, зателефонуйте Tmorrow.pls, будь ласка, прийміть."
ham,First answer my question.,Спочатку дайте відповідь на моє запитання.
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. ÃÂ¥ÃÂ£1.50 SP:Tyrone,"Сонячна вікторина Wkly Q! Виграйте топовий DVD-плеєр Sony, якщо знаєте, в якій країні знаходиться Алгарве? Надішліть відповідь у вигляді тексту на номер 82277. 1.50 фунтів стерлінгів SP:Тайрон"
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,"Хочеш переспати сьогодні ввечері? Хочете реальні місця для доггінгу, надіслані безпосередньо 2 вашій натовпу? Приєднуйтесь до найбільшої у Великобританії мережі доггінгу bt Txting GRAVEL на 69888! Nt. ec2a. 31p.msg@150p"
ham,I only haf msn. It's yijue@hotmail.com,У мене є тільки msn. Це yijue@hotmail.com
ham,He is there. You call and meet him,Він там. Ти дзвониш і зустрічаєшся з ним
ham,No no. I will check all rooms befor activities,"Ні, ні. Я перевірю всі кімнати на предмет активності"
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,"Ви більше не отримаєте жодного повідомлення з чату svc. Щоб отримати БЕЗКОШТОВНІ послуги Hardcore, надішліть повідомлення GO to: 69988 Якщо ви нічого не отримуєте, пройдіть перевірку віку у вашій мережі та спробуйте ще раз"
ham,Got c... I lazy to type... I forgot ÃÂ_ in lect... I saw a pouch but like not v nice...,"Маю с... Ліньки друкувати... Я забув ГВ_ на лекції... Я бачив мішечок, але не дуже гарний..."
ham,"K, text me when you're on the way","К, напиши мені, коли будеш в дорозі"
ham,"Sir, Waiting for your mail.","Сер, чекаю на вашу пошту."
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""","Чудова думка: \""Ніколи не втомлюйся робити дрібниці для коханої людини."" Тому що іноді ці дрібниці займають найбільше місця в їхніх серцях... Ґуд ні!"
ham,I know you are. Can you pls open the back?,"Я знаю, що так. Відкрийте, будь ласка, заднє сидіння."
ham,Yes see ya not on the dot,"Так, побачимося не на місці"
ham,Whats the staff name who is taking class for us?,"Як звати співробітника, який проводить заняття для нас?"
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","FreeMsg Чому ти не відповіла на моє повідомлення? Я Ренді, сексуальна, жінка і живу тут. Люблю чути від u. Netcollex Ltd 08700621170150p за msg відповідь Стоп до кінця"
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,"Умма зателефонує після реєстрації. наше життя почнеться з Катару, тому моліться дуже сильно."
ham,K..i deleted my contact that why?,"Я видалив свій контакт, чому?"
ham,Sindu got job in birla soft ..,Сінду влаштувався на роботу в birla soft ...
ham,The wine is flowing and i'm i have nevering..,"Вино ллється рікою, а я не маю нічого..."
